Date,AAPL,MSFT,TSLA,BND,AGG,TLT,BTC-USD,ETH-USD
2020-03-18,59.71546173095703,133.9215087890625,24.08133316040039,68.95507049560547,91.46856689453125,123.79603576660156,5238.4384765625,114.84226989746094
2020-03-19,59.2579231262207,136.1248779296875,28.50933265686035,68.91242218017578,93.51133728027344,127.16648864746094,6191.19287109375,136.59385681152344
2020-03-20,55.49590301513672,131.01220703125,28.50200080871582,70.08084869384766,94.43828582763672,136.72879028320312,6198.7783203125,132.73716735839844
2020-03-23,54.31694030761719,129.70541381835938,28.952667236328125,71.63308715820312,96.67843627929688,142.36328125,6416.31494140625,134.91160583496094
2020-03-24,59.766300201416016,141.49505615234375,33.66666793823242,71.70984649658203,97.47664642333984,139.71334838867188,6734.8037109375,138.76144409179688
2020-03-25,59.43707275390625,140.14064025878906,35.95000076293945,72.67362213134766,98.47228240966797,139.39593505859375,6681.06298828125,136.19589233398438
2020-03-26,62.56483459472656,148.9065704345703,35.21066665649414,73.00621795654297,98.77267456054688,140.0820770263672,6716.4404296875,138.36155700683594
2020-03-27,59.9744987487793,142.7923126220703,34.29066848754883,73.3985595703125,99.19325256347656,143.8212432861328,6469.79833984375,133.9379425048828
2020-03-30,61.68606185913086,152.83644104003906,33.47533416748047,73.4753189086914,99.28765106201172,142.63778686523438,6429.841796875,132.904541015625
2020-03-31,61.56016159057617,150.43272399902344,34.93333435058594,72.7929916381836,99.0215835571289,141.4799041748047,6438.64453125,133.59356689453125
2020-04-01,58.3210563659668,145.0911102294922,32.104000091552734,73.16908264160156,98.68527221679688,143.46214294433594,6606.7763671875,135.63455200195312
2020-04-02,59.29423904418945,148.09576416015625,30.29800033569336,73.51102447509766,98.83150482177734,144.37257385253906,6793.62451171875,142.02914428710938
2020-04-03,58.44209671020508,146.73175048828125,32.000667572021484,73.476806640625,98.90029907226562,144.7161407470703,6733.38720703125,142.09130859375
2020-04-06,63.54043960571289,157.64390563964844,34.41600036621094,73.70760345458984,99.38198852539062,144.33819580078125,7271.78125,169.13587951660156
2020-04-07,62.804500579833984,155.946044921875,36.36333465576172,73.7760009765625,99.51964569091797,142.8266143798828,7176.41455078125,165.10194396972656
2020-04-08,64.41193389892578,157.51036071777344,36.589332580566406,73.96404266357422,99.61426544189453,141.78746032714844,7334.0986328125,172.64173889160156
2020-04-09,64.87677001953125,157.51988220214844,38.20000076293945,74.77610778808594,100.85283660888672,142.04502868652344,7302.08935546875,170.80714416503906
2020-04-13,66.1501235961914,157.872802734375,43.39666748046875,74.53675079345703,100.37975311279297,140.7482452392578,6845.03759765625,156.27955627441406
2020-04-14,69.49089813232422,165.68487548828125,47.32600021362305,74.53675079345703,100.431396484375,140.7138671875,6842.427734375,157.5963897705078
2020-04-15,68.85664367675781,163.94891357421875,48.65533447265625,74.9042739868164,100.84423828125,144.44126892089844,6642.10986328125,153.28689575195312
2020-04-16,69.40375518798828,168.8708038330078,49.680667877197266,74.94707489013672,100.97331237792969,146.0816650390625,7116.80419921875,172.15737915039062
2020-04-17,68.46206665039062,170.35877990722656,50.259334564208984,74.8444595336914,100.85283660888672,144.1234893798828,7096.1845703125,171.63858032226562
2020-04-20,67.0409927368164,166.98214721679688,49.75733184814453,74.72476959228516,100.7066421508789,145.282958984375,6881.95849609375,172.2971649169922
2020-04-21,64.96874237060547,160.07623291015625,45.781333923339844,74.81883239746094,100.75822448730469,147.11227416992188,6880.3232421875,172.73770141601562
2020-04-22,66.84007263183594,165.51319885253906,48.807334899902344,74.75898742675781,100.75822448730469,145.60928344726562,7117.20751953125,182.59957885742188
2020-04-23,66.5810317993164,163.51007080078125,47.04199981689453,74.87865447998047,100.99911499023438,146.38223266601562,7429.724609375,185.02867126464844
2020-04-24,68.50320434570312,166.4956817626953,48.34333419799805,74.85302734375,100.94750213623047,146.725830078125,7550.90087890625,189.2369384765625
2020-04-27,68.55162811279297,166.01873779296875,53.25,74.58802795410156,100.48301696777344,143.99465942382812,7795.60107421875,197.22471618652344
